Protein-Name,note about a transporter encoded by the gene,Gene association,Substrate,Subtype,Family,Family Name,Transporter Class,Transport Reaction,TC number
SCO1742,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1785,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,pi_e[e]+ h2o_c[c] + atp_c[c] -> p_c[c] + adp_c[c] + h_c[c],3.A.1
SCO1786,,,ferric enterobactin,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1787,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] +heme_e[e]  -> h_c[c] + heme_c[c] + adp_c[c] + h_c[c] , add metabolite heme in scoGEM",3.A.1
SCO1798,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1806,,,White pigment protein homolog (ABCG),ABCG,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1840,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1882,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1886,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1887,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1898,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1899,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1900,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1922,,,? (Fe-S assembly/SufBCD system),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"sufbcd_2fe2s2_e[e] + atp_c[c] + h20_c[c] -> sufbcd_2fe2s2_c[c] + adp_c[c] + h_c[c], sufbcd_4fe4s_e[e] + atp_c[c] + h2o_c[c] ->sufbcd_4fe4s_c[c]+ + adp_c[c]+hc_c[c] ",3.A.1
SCO1924,,,? (Fe-S assembly/SufBCD system),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"sufbcd_2fe2s2_e[e] + atp_c[c] + h20_c[c] -> sufbcd_2fe2s2_c[c] + atp_e[e] + h2o_e[e], sufbcd_4fe4s_e[e] + adp_c[c] + h2o_c[c] + hc_c[c] ",3.A.1
SCO1925,,,? (Fe-S assembly/SufBCD system),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"sufbcd_2fe2s2_e[e] + atp_c[c] + h20_e[e] -> sufbcd_2fe2s2_c[c] + adp_c[e] + h_c[c], sufbcd_4fe4s_e[e] + atp_c[c] + h2o_c[c]->sufbcd_4fe4s_c[c]+ adp_c[c] + h_c[c] ",3.A.1
SCO1928,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO1929,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2008,,,leucine/valine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2009,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2010,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2011,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2012,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2060,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2061,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2229,,,sugar (maltose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2230,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2231,,,sugar (maltose?),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2257,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2258,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2272,,,iron-hydroxamate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2273,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2274,,,cobalamin/Fe3+-siderophores,ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2305,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2306,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2323,,,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2324,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,cobalt2_e[e] + atp_c[c] + h2o_c[c] -> cobalt2_c[c] + adp_c[c] + h_c[c] +,3.A.1
SCO2325,,,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2404, ,,xylose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2405,"UniProt, KEGG: 90% allignemnt similarity with Streptomyces lividans TK24, L-arabinose transport",,"sugar (ribose?), L-arabinose",ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + arab__L_e[e]  -> h_c[c] + arab__L_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO2406,,,sugar (xylose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2414,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2415,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2416,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2417,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2418,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2419,,,toluene tolerance,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2420,,,toluene tolerance,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2421,,,toluene tolerance,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,tol_e[e] + h2o_c[c]+atp_c[c] -> tol_c[c] + adp_c[c] + h_c[c],3.A.1
SCO2422,,,phosphate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2428,,,phosphate,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2432,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2433,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2434,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2463,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2464,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2505,,,zinc,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2506,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2507,,,manganese/zinc ion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2658,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO2659,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO2660,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar (N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO2664,UniProt: 90 % seq similarity in glnH_3 in Streptomyces sp. 111WW2 glutamine transport,,"amino acid (glutamine/glutamate/aspartate?), glutamine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + gln_e[e]  -> h_c[c] + gln_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO2674,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2677,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] +heme_e[e]  -> h_c[c] + heme_c[c] + adp_c[c] + h_c[c] , add metabolite heme in scoGEM",3.A.1
SCO2723,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2746,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2747,,,xylose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2763,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2780,,,iron-hydroxamate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2795,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2796,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2797,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2828,,,amino acid (glutamine/glutamate/aspartate?),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2829,,,amino aicd (glutamine/glutamate/aspartate?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2830,,,amino aicd (glutamine/glutamate/aspartate?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2831,,,D-methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2894,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2895,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,"multidrug, lipopolisaccharide export",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c]+ h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2896,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,"multidrug?, lipopolisaccharide",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c]+ h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2930,,,glycine betaine/L-proline/carnitine/choline,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2931,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2932,,,glycine betaine/L-proline/carnitine/choline,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2933,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2944,"Uniprot, KEGG: N,N'-diacetylchitobiose",,"sugar, N,N'-diacetylchitobiose",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2945,"Uniprot, KEGG: N,N'-diacetylchitobiose",,"sugar, N,N'-diacetylchitobiose",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2946,"Uniprot, KEGG: N,N'-diacetylchitobiose",,"sugar, N,N'-diacetylchitobiose",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + chtbs_e[e]  -> h_c[c] + chtbs_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO2968,,,cell division,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2969,,,D-methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + met-_L_e[e]  -> h_c[c] + met__L_e[c] + adp_c[c] + pi_c[c],3.A.1
SCO2978,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2979,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2980,"UniProt, KEGG-alpha-glucoside transport",,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO2995,"UniProt, KEGG: teichoic acid tranport",,"polysaccharide export, teichoic acid",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"tca_e[e] + h2o_c[c] + atp_c[c] -> tca_c[c] + adp_c[c] + hc_[c], tca, new metabolite",3.A.1
SCO2996,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3089,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[c]-> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO3090,,,lipoprotein releasing,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO3110,,,lipoprotein releasing,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO3111,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[c] -> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO3147,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"h2o_c[c] + atp_c[c] +heme_e[e]  -> h_c[c] + heme_c[c] + adp_c[c] + h_c[c] , add metabolite heme in scoGEM",3.A.1
SCO3159,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"Unclassified, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3160,Uniprot: Co/Ni transport,,cobalt ion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,cobalt2_e[e] + atp_c[c] + h2o_c[c] -> cobalt2_c[c] + adp_c[c] + h_c[c] + cobalt2_c[c],3.A.1
SCO3161,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3224,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3235,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3339,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3417,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3418,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3453,,,polyamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3454,,,spermidine/putrescine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,spmd_[e] + h2o_c[c]+atp_c[c]->spmd_c[c] + adp_c[c] + hc_[c],3.A.1
SCO3455,,,spermidine/putrescine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,spmd_e[e] + h2o_c[c]+atp_c[c]->spmd_c[c] + adp_c[c] + hc_[c],3.A.1
SCO3456,,,spermidine/putrescine,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,spmd_e[e] + h2o_c[c]+atp_c[c]->spmd_c[c] + adp_c[c] + hc_[c],3.A.1
SCO3482,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"Unclassified, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3483,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"Unclassified, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3484,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"Unclassified, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3503,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"Unclassified, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3504,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3505,"TransporterDB and Uniprot Database: N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin, methionine",,"sugar, N,N-diacetylvhitobiose, alpha-glucoside, maltose, maltodextrin), methionine",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + malt_e[e]  -> h_c[c] + malt_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3633,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + xyl__D_e[e]  -> h_c[c] + xyl__D_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3634,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3667,,,xylose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] + xyl__D_e[e]  -> h_c[c] + xyl__D_c[c] + adp_c[c] + pi_c[c] ,3.A.1
SCO3704,,,mobybdenate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3705,,,molybdate,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3706,,,molybdate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3752,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[c] -> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO3754,,,lipoprotein releasing,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO3755,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[c] -> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO3824,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3825,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3947,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3956,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3958,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3959,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO4074,,,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4075,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4139,,,phosphate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4140,,,phosphate,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4141,,,phosphate,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4142,,,phosphate,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4148,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4240,,,polyamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4286,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4359,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4360,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4397,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4404,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO4405,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4585,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
